backend,mode,extra_args,concurrency,run_id,status,total_throughput,h1,h2,h3,h4,h5,cpu_all_avg,cpu_leader_avg,leader_queue_depth_avg,fastpath_attempt_rate,fastpath_success_rate,original_path_rate,error_count,error_summary,log_path
etcd,original,,1,1,OK,39.90,7.90,8.10,7.90,7.90,8.10,NA,4.7500,.7980,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_none_etcd/conc1_attempt0.log
etcd,original,,5,2,OK,272.40,54.60,54.10,55.00,54.30,54.40,NA,6.6600,1.2500,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_none_etcd/conc5_attempt0.log
etcd,original,,10,3,OK,568.00,115.10,114.40,112.70,113.10,112.70,NA,5.7700,1.2840,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_none_etcd/conc10_attempt0.log
etcd,original,,25,4,OK,1471.70,291.40,292.60,295.80,296.40,295.50,NA,5.3500,2.3460,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_none_etcd/conc25_attempt0.log
etcd,original,,50,5,OK,2974.70,596.20,594.00,598.90,594.50,591.10,NA,6.0500,2.6300,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_none_etcd/conc50_attempt0.log
etcd,original,,75,6,OK,4458.40,892.40,894.90,894.10,889.40,887.60,NA,9.4900,4.4660,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_none_etcd/conc75_attempt0.log
etcd,original,,100,7,OK,5949.40,1193.00,1194.50,1186.80,1187.80,1187.30,NA,9.0800,7.6420,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_none_etcd/conc100_attempt0.log
etcd,original,,150,8,OK,7616.40,1579.50,1440.30,1505.90,1530.50,1560.20,NA,8.4100,8.0540,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_none_etcd/conc150_attempt0.log
etcd,original,,200,9,OK,7686.60,1678.50,1529.50,1578.00,1521.00,1379.60,NA,8.0900,7.1340,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_none_etcd/conc200_attempt0.log
etcd,original,,300,10,OK,6977.20,1467.70,1345.90,1372.60,1400.00,1391.00,NA,7.8500,18.9120,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_none_etcd/conc300_attempt0.log
etcd,original,,400,11,OK,6915.20,1489.70,1381.10,1359.90,1360.50,1324.00,NA,8.7800,88.5000,0,0,100,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-etcd_none_etcd/conc400_attempt0.log
