# Sweep: image=jetpack-mongodb-phase1e-leaf3 mode=none_mongodb.yml extra_args=''
# Site config: 60c1s5r5p.yml (60 clients)
# Latency: 20ms, Duration: 30s
# Date: 2026-03-10T21:39:05Z
# Max retries per point: 2
concurrency	total_throughput	h1	h2	h3	h4	h5	fp_attempted	fp_succeeded	fp_rate	cpu_leader_avg	queue_depth_avg	status	error_summary	log_path	retry_count
1	39.70	8.10	7.90	8.00	7.80	7.90	0	0	0	7.6700	.2000	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-mongodb-phase1e-leaf3_none_mongodb/conc1_attempt0.log	0
5	273.70	54.80	55.00	55.10	54.30	54.50	0	0	0	7.9700	.2000	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-mongodb-phase1e-leaf3_none_mongodb/conc5_attempt0.log	0
10	570.10	113.90	114.00	115.10	113.40	113.70	0	0	0	8.1200	.2000	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-mongodb-phase1e-leaf3_none_mongodb/conc10_attempt0.log	0
25	1466.30	294.10	293.20	290.70	293.30	295.00	0	0	0	8.9100	.2000	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-mongodb-phase1e-leaf3_none_mongodb/conc25_attempt0.log	0
50	2963.40	591.30	590.90	593.30	593.30	594.60	0	0	0	9.7800	.2000	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-mongodb-phase1e-leaf3_none_mongodb/conc50_attempt0.log	0
75	4297.90	865.90	857.50	856.70	854.90	862.90	0	0	0	8.7100	.2000	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-mongodb-phase1e-leaf3_none_mongodb/conc75_attempt0.log	0
100	3986.10	807.80	797.50	776.30	845.60	758.90	0	0	0	11.3700	.2000	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-mongodb-phase1e-leaf3_none_mongodb/conc100_attempt0.log	0
150	3800.00	834.90	807.30	699.20	693.00	765.60	0	0	0	11.8900	.2000	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-mongodb-phase1e-leaf3_none_mongodb/conc150_attempt0.log	0
200	3866.70	759.90	737.30	809.60	800.00	759.90	0	0	0	11.3900	.2000	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-mongodb-phase1e-leaf3_none_mongodb/conc200_attempt0.log	0
300	3600.70	720.00	700.00	740.00	720.00	720.70	0	0	0	9.2500	.2000	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-mongodb-phase1e-leaf3_none_mongodb/conc300_attempt0.log	0
400	3339.00	639.50	660.00	680.00	679.50	680.00	0	0	0	13.3200	.2000	OK	;timeout	docs/sweep_2026-02-28/logs/jetpack-mongodb-phase1e-leaf3_none_mongodb/conc400_attempt0.log	0
