backend,mode,concurrency,total_throughput,h1,h2,h3,h4,h5
etcd,Original,1,39.50,8.10,8.30,7.50,8.00,7.60
etcd,Original,5,273.80,56.10,54.40,53.90,54.30,55.10
etcd,Original,10,570.90,115.00,115.40,114.40,112.90,113.20
etcd,Original,25,1471.70,293.00,294.20,293.70,296.90,293.90
etcd,Original,50,2959.40,593.60,589.70,592.80,590.80,592.50
etcd,Original,75,4461.70,888.10,894.60,891.30,895.20,892.50
etcd,Original,100,5956.00,1190.20,1193.90,1191.00,1187.40,1193.50
etcd,Original,150,7703.20,1577.60,1556.00,1545.10,1525.10,1499.40
etcd,Original,200,7638.60,1586.80,1526.10,1538.70,1475.80,1511.20
etcd,Original,300,7219.70,1474.50,1427.90,1427.80,1449.50,1440.00
etcd,Original,400,6415.80,1362.60,1272.70,1262.50,1249.00,1269.00
etcd,Fast path 100%,1,39.20,7.80,7.90,7.70,8.00,7.80
etcd,Fast path 100%,5,271.90,53.70,54.70,54.20,54.80,54.50
etcd,Fast path 100%,10,571.90,114.30,115.30,112.50,115.90,113.90
etcd,Fast path 100%,25,1470.00,296.70,293.00,293.40,292.50,294.40
etcd,Fast path 100%,50,2966.40,594.40,591.80,593.50,591.40,595.30
etcd,Fast path 100%,75,4460.70,892.90,898.20,888.60,888.90,892.10
etcd,Fast path 100%,100,5952.20,1192.90,1192.80,1187.80,1194.20,1184.50
etcd,Fast path 100%,150,7115.70,1477.30,1360.00,1400.00,1456.00,1422.40
etcd,Fast path 100%,200,5772.20,1198.30,1139.80,1138.50,1144.80,1150.80
etcd,Fast path 100%,300,1010.20,240.00,300.00,150.20,180.00,140.00
etcd,Fast path 100%,400,6389.30,1251.00,1286.00,1270.30,1281.20,1300.80
etcd,Adaptive,1,41.20,8.00,8.80,7.80,8.30,8.30
etcd,Adaptive,5,272.00,54.80,53.70,53.80,54.90,54.80
etcd,Adaptive,10,573.30,114.80,114.30,113.80,113.80,116.60
etcd,Adaptive,25,1464.40,292.70,291.20,293.60,293.10,293.80
etcd,Adaptive,50,2957.50,590.20,593.70,590.20,592.40,591.00
etcd,Adaptive,75,4451.10,885.40,893.70,886.50,892.70,892.80
etcd,Adaptive,100,5965.90,1195.80,1199.50,1193.00,1187.40,1190.20
etcd,Adaptive,150,7081.10,1446.10,1332.30,1443.20,1443.20,1416.30
etcd,Adaptive,200,7233.40,1493.10,1459.20,1427.30,1448.10,1405.70
etcd,Adaptive,300,6586.80,1409.70,1299.20,1293.50,1297.70,1286.70
etcd,Adaptive,400,6310.40,1268.30,1286.50,1261.00,1232.90,1261.70
MongoDB,Original,1,41.00,8.30,8.30,8.10,7.70,8.60
MongoDB,Original,5,265.20,49.70,53.30,53.60,53.90,54.70
MongoDB,Original,25,1466.30,293.40,296.10,293.80,290.90,292.10
MongoDB,Original,75,4321.00,871.30,873.60,878.30,836.00,861.80
MongoDB,Original,150,5265.20,1054.80,980.70,1089.80,1073.00,1066.90
MongoDB,Original,300,3993.00,736.10,788.30,871.20,916.10,681.30
MongoDB,Original,400,4829.40,938.60,959.30,975.40,977.70,978.40
MongoDB,Fast path 100%,1,40.00,8.20,8.00,8.40,7.50,7.90
MongoDB,Fast path 100%,5,259.70,53.70,53.80,44.60,53.80,53.80
MongoDB,Fast path 100%,10,569.70,113.10,114.90,114.30,114.60,112.80
MongoDB,Fast path 100%,25,1458.40,291.60,291.10,289.40,293.20,293.10
MongoDB,Fast path 100%,50,2959.70,594.70,592.50,590.90,590.40,591.20
MongoDB,Fast path 100%,75,2763.90,605.00,523.40,555.40,552.50,527.60
MongoDB,Fast path 100%,100,3041.10,692.20,553.80,603.70,606.20,585.20
MongoDB,Fast path 100%,150,3966.20,758.90,762.20,943.90,733.50,767.70
MongoDB,Fast path 100%,200,4894.10,958.20,1017.80,999.70,959.60,958.80
MongoDB,Fast path 100%,300,4489.60,898.30,925.80,839.30,898.60,927.60
MongoDB,Adaptive,1,38.70,7.30,7.70,7.90,8.20,7.60
MongoDB,Adaptive,5,257.10,54.30,45.40,49.60,53.80,54.00
MongoDB,Adaptive,10,363.10,104.30,86.90,85.80,86.10,0.00
MongoDB,Adaptive,50,2969.70,590.80,594.00,597.50,591.40,596.00
MongoDB,Adaptive,75,4356.40,867.30,877.80,870.80,866.70,873.80
MongoDB,Adaptive,100,5266.80,1066.90,1066.10,1043.30,1022.90,1067.60
MongoDB,Adaptive,150,3961.20,858.10,838.70,854.20,669.90,740.30
MongoDB,Adaptive,200,4916.40,1032.80,1039.90,999.50,1014.20,830.00
MongoDB,Adaptive,300,4922.40,1012.30,960.30,991.90,998.30,959.60
MongoDB,Adaptive,400,4577.20,912.30,934.60,878.50,942.50,909.30
ZooKeeper,Original,1,40.90,8.00,8.00,8.20,8.00,8.70
ZooKeeper,Original,5,271.90,54.40,54.50,55.40,54.00,53.60
ZooKeeper,Original,10,571.20,113.20,115.10,114.50,114.80,113.60
ZooKeeper,Original,25,1460.90,292.90,294.00,291.40,293.60,289.00
ZooKeeper,Original,50,2957.30,593.00,593.20,586.30,590.40,594.40
