backend,mode,extra_args,concurrency,total_throughput,h1,h2,h3,h4,h5,fp_attempted,fp_succeeded,fp_rate,cpu_leader_avg,queue_depth_avg
etcd,original,,1,40.10,8.00,8.20,8.40,7.70,7.80,0,0,0,0,0
etcd,original,,5,273.40,55.20,54.80,53.80,54.40,55.20,0,0,0,0,0
etcd,original,,10,571.10,113.20,115.30,114.50,113.50,114.60,0,0,0,0,0
etcd,original,,25,1471.20,291.10,296.40,293.70,295.60,294.40,0,0,0,0,0
etcd,original,,50,2374.00,543.60,457.70,454.90,461.50,456.30,0,0,0,0,0
etcd,original,,75,4461.70,893.40,886.20,893.10,894.90,894.10,0,0,0,0,0
etcd,original,,100,5956.70,1194.80,1187.60,1189.90,1190.30,1194.10,0,0,0,0,0
etcd,original,,150,7708.90,1577.20,1509.60,1525.60,1542.70,1553.80,0,0,0,0,0
etcd,original,,200,7396.80,1492.50,1459.70,1470.80,1476.40,1497.40,0,0,0,0,0
etcd,original,,300,7237.60,1498.30,1458.00,1440.00,1452.00,1389.30,0,0,0,0,0
etcd,original,,400,6583.90,1393.50,1254.30,1325.20,1300.80,1310.10,0,0,0,0,0
etcd,fastpath100,-m 100,1,39.50,8.20,8.10,7.50,7.90,7.80,201,201,100.00,54.8367,4.6220
etcd,fastpath100,-m 100,5,274.00,54.50,55.20,55.00,55.20,54.10,3,3,100.00,31.4921,7.8922
etcd,fastpath100,-m 100,10,576.40,115.00,115.20,114.70,117.20,114.30,1,1,100.00,39.1900,19.0776
etcd,fastpath100,-m 100,25,1444.50,295.10,280.90,288.70,289.50,290.30,0,0,0,49.3315,64.3155
etcd,fastpath100,-m 100,50,0,0,0,0,0,0,0,0,0,0,0
etcd,fastpath100,-m 100,75,0,0.00,0.00,0.00,0.00,0.00,0,0,0,30.3500,596.3731
etcd,fastpath100,-m 100,100,5951.30,1192.00,1188.90,1188.10,1193.70,1188.60,0,0,0,90.0387,455.5925
etcd,fastpath100,-m 100,150,572.20,131.90,98.60,114.80,103.80,123.10,0,0,0,87.9683,424.4225
etcd,fastpath100,-m 100,200,6544.70,1305.60,1308.40,1296.10,1311.20,1323.40,0,0,0,90.0000,579.3346
etcd,fastpath100,-m 100,300,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,580.6359
etcd,fastpath100,-m 100,400,6254.40,1276.80,1220.00,1250.40,1253.60,1253.60,0,0,0,91.2065,205.5617
etcd,adaptive,,1,39.40,8.40,7.90,7.70,8.10,7.30,206,206,100.00,78.7631,2.5560
etcd,adaptive,,5,273.10,54.30,54.90,55.20,55.50,53.20,5,5,100.00,66.6852,5.6210
etcd,adaptive,,10,566.50,113.20,113.60,113.70,114.10,111.90,0,0,0,80.8268,20.9678
etcd,adaptive,,25,1471.50,295.70,295.80,292.50,293.60,293.90,0,0,0,92.8000,67.8185
etcd,adaptive,,50,78.20,78.20,0.00,0.00,0.00,0.00,48,48,100.00,94.4762,505.0355
etcd,adaptive,,75,1562.70,241.70,329.00,328.50,332.80,330.70,0,0,0,92.7583,288.0038
etcd,adaptive,,100,0,0.00,0.00,0.00,0.00,0.00,0,0,0,95.3675,679.4221
etcd,adaptive,,150,1006.20,81.80,228.60,244.70,210.50,240.60,0,0,0,98.0166,173.7314
etcd,adaptive,,200,6390.80,746.80,1438.70,1428.40,1396.90,1380.00,0,0,0,98.3333,382.6113
etcd,adaptive,,300,6583.80,1359.30,1314.80,1297.00,1314.70,1298.00,0,0,0,87.6421,268.5133
etcd,adaptive,,400,6317.90,1315.20,1235.20,1259.20,1250.80,1257.50,0,0,0,86.2272,317.1868
mongodb,original,,1,40.00,8.30,8.20,7.60,8.00,7.90,0,0,0,0,0
mongodb,original,,5,272.70,54.60,54.40,56.00,54.70,53.00,0,0,0,0,0
mongodb,original,,10,569.30,113.90,115.10,112.50,114.10,113.70,0,0,0,0,0
mongodb,original,,25,1475.10,294.80,296.60,295.50,292.50,295.70,0,0,0,0,0
mongodb,original,,50,0,0,0,0,0,0,0,0,0,0,0
mongodb,original,,75,0,0,0,0,0,0,0,0,0,0,0
mongodb,original,,100,1171.80,234.80,217.00,240.00,240.00,240.00,0,0,0,0,0
mongodb,original,,150,3023.40,589.90,569.00,588.50,652.90,623.10,0,0,0,0,0
mongodb,original,,200,3182.90,640.10,602.60,620.00,660.10,660.10,0,0,0,0,0
mongodb,original,,300,3100.00,680.00,600.00,620.00,600.00,600.00,0,0,0,0,0
mongodb,original,,400,2820.00,540.00,580.00,540.00,580.00,580.00,0,0,0,0,0
mongodb,fastpath100,-m 100,1,39.60,8.10,8.10,7.90,7.80,7.70,312,297,95.19,98.0220,1.0000
mongodb,fastpath100,-m 100,5,272.20,54.90,54.30,54.30,54.40,54.30,2185,2170,99.31,98.3821,1.0000
mongodb,fastpath100,-m 100,10,569.30,113.70,112.70,113.40,115.20,114.30,4525,4525,100.00,99.7694,1.0000
mongodb,fastpath100,-m 100,25,1469.30,297.10,293.40,294.30,290.60,293.90,11787,11630,98.66,99.2500,1.0000
mongodb,fastpath100,-m 100,50,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
mongodb,fastpath100,-m 100,75,2242.80,470.50,425.40,481.20,434.50,431.20,17915,1078,6.01,28.6858,1.0000
mongodb,fastpath100,-m 100,100,2962.80,567.50,632.00,558.60,596.20,608.50,23688,1079,4.55,22.4144,1.0000
mongodb,fastpath100,-m 100,150,3369.60,740.00,661.00,649.10,653.90,665.60,26920,1437,5.33,20.8293,1.0000
mongodb,fastpath100,-m 100,200,3360.00,700.00,660.00,680.00,660.00,660.00,26888,1273,4.73,20.1860,1.0000
mongodb,fastpath100,-m 100,300,3060.00,660.00,640.00,560.00,640.00,560.00,24461,1365,5.58,19.8670,1.0000
mongodb,fastpath100,-m 100,400,2760.00,520.00,560.00,540.00,600.00,540.00,22096,1393,6.30,20.0649,1.0000
mongodb,adaptive,,1,39.90,8.10,8.00,8.00,8.20,7.60,310,310,100.00,50.0278,1.0000
mongodb,adaptive,,5,0,0,0,0,0,0,0,0,0,0,0
mongodb,adaptive,,10,571.20,115.30,114.20,114.00,115.10,112.60,3689,3689,100.00,93.6703,1.0000
mongodb,adaptive,,25,1465.70,291.50,294.30,291.90,294.10,293.90,9490,9486,99.95,97.4618,1.0000
mongodb,adaptive,,50,2966.40,590.50,594.80,595.20,592.40,593.50,3811,3446,90.42,85.5268,1.0000
mongodb,adaptive,,75,3773.00,740.90,775.50,761.60,734.80,760.20,1695,1310,77.28,84.2091,1.0000
mongodb,adaptive,,100,3754.20,744.10,725.50,723.00,775.70,785.90,1545,1319,85.37,87.2635,1.0000
mongodb,adaptive,,150,3650.00,811.70,687.80,707.10,703.70,739.70,1564,1355,86.63,87.9140,1.0000
mongodb,adaptive,,200,0,0,0,0,0,0,0,0,0,0,0
mongodb,adaptive,,300,3040.00,660.00,540.00,660.00,640.00,540.00,1292,1188,91.95,89.5050,1.0000
mongodb,adaptive,,400,2804.40,620.00,584.40,520.00,560.00,520.00,1166,1006,86.27,87.4915,1.0000
zookeeper,original,,1,40.50,7.90,8.00,7.90,8.40,8.30,0,0,0,0,0
zookeeper,original,,5,272.90,55.30,53.80,55.90,53.20,54.70,0,0,0,0,0
zookeeper,original,,10,576.20,114.20,115.30,116.60,114.50,115.60,0,0,0,0,0
zookeeper,original,,25,1468.90,294.60,291.40,295.20,292.10,295.60,0,0,0,0,0
zookeeper,original,,50,2945.50,594.00,585.00,593.50,588.10,584.90,0,0,0,0,0
zookeeper,original,,75,3823.40,760.80,764.00,766.50,756.90,775.20,0,0,0,0,0
zookeeper,original,,100,4632.80,939.90,924.90,921.90,923.20,922.90,0,0,0,0,0
zookeeper,original,,150,470.80,100.10,98.40,83.20,90.10,99.00,0,0,0,0,0
zookeeper,original,,200,4853.70,976.80,963.90,979.40,967.80,965.80,0,0,0,0,0
zookeeper,original,,300,3786.90,769.50,769.40,757.90,746.00,744.10,0,0,0,0,0
zookeeper,original,,400,3228.00,661.90,652.40,620.00,629.30,664.40,0,0,0,0,0
zookeeper,fastpath100,-m 100,1,39.00,7.60,8.00,7.70,8.20,7.50,185,185,100.00,40.0379,2.6293
zookeeper,fastpath100,-m 100,5,271.50,54.10,54.40,54.80,54.50,53.70,0,0,0,91.7821,12.0988
zookeeper,fastpath100,-m 100,10,570.10,113.20,114.40,115.30,113.00,114.20,0,0,0,59.5378,26.0171
zookeeper,fastpath100,-m 100,25,1472.10,292.80,293.50,295.60,294.90,295.30,0,0,0,84.5512,70.3399
zookeeper,fastpath100,-m 100,50,2670.10,562.60,511.30,555.20,511.20,529.80,0,0,0,92.8962,122.8263
zookeeper,fastpath100,-m 100,75,4452.40,876.60,891.70,889.20,899.90,895.00,0,0,0,97.7840,5421.6473
zookeeper,fastpath100,-m 100,100,4723.00,957.60,940.50,941.20,940.00,943.70,0,0,0,91.6666,1451.2959
zookeeper,fastpath100,-m 100,150,0,0,0,0,0,0,0,0,0,0,0
zookeeper,fastpath100,-m 100,200,4034.00,810.50,825.60,801.80,809.80,786.30,0,0,0,89.6202,6867.9108
zookeeper,fastpath100,-m 100,300,0,0.00,0,0,0,0,0,0,0,81.5789,2799.4947
zookeeper,fastpath100,-m 100,400,4390.40,942.00,840.00,860.20,880.00,868.20,0,0,0,96.6666,5587.4698
zookeeper,adaptive,,1,14.20,3.90,3.50,2.80,1.60,2.40,67,67,100.00,49.9877,8.6014
zookeeper,adaptive,,5,272.60,53.30,54.80,55.10,54.50,54.90,0,0,0,26.0134,13.4717
zookeeper,adaptive,,10,572.80,113.50,117.00,111.80,115.10,115.40,0,0,0,43.8818,26.8694
zookeeper,adaptive,,25,1466.00,292.90,289.60,297.80,293.60,292.10,0,0,0,63.0841,66.9478
zookeeper,adaptive,,50,1462.50,308.80,271.90,307.70,300.30,273.80,0,0,0,77.1748,137.0667
