protocol,key_range,N,avg_latency_ms
raft,1,150,1962.483645054221
raft,10,150,2275.445787351
raft,100,150,2075.0977955258945
raft,1000,150,2213.4939405939795
raft,10000,150,1978.2070545631113
raft,100000,150,2133.250638378664
raft,1000000,150,2190.5723667266293
jp-raft-fp0,1,150,2294.2542737570257
jp-raft-fp0,10,150,2305.3150841874067
jp-raft-fp0,100,150,2021.0035196327606
jp-raft-fp0,1000,150,1984.8101034166218
jp-raft-fp0,10000,150,2095.606279412196
jp-raft-fp0,100000,150,2028.1693728439836
jp-raft-fp0,1000000,150,2362.218241546968
jp-raft-fp100,10,150,5881.372955536314
jp-raft-fp100,100000,150,5564.350020733169
jp-raft-adaptive,1,100,1969.9738369288211
jp-raft-adaptive,10,100,1518.0551621169027
jp-raft-adaptive,100,100,1663.2872514091168
jp-raft-adaptive,1000,100,1526.2745555059676
jp-raft-adaptive,10000,100,1643.934161690292
jp-raft-adaptive,100000,100,1808.2782537908831
jp-raft-adaptive,1000000,100,1606.3405952408266
copilot,1,25,109.01184202936632
copilot,100,25,106.15255372201494
copilot,1000,25,750.4986647078204
copilot,10000,25,1507.253841652922
copilot,100000,25,133.85847981498623
copilot,1000000,25,134.27675523754536
jp-copilot-fp0,10,25,104.88561967601247
jp-copilot-fp0,100,25,1692.178147193519
jp-copilot-fp0,1000,25,1290.1497179051846
jp-copilot-fp0,10000,25,134.2322495222214
jp-copilot-fp0,100000,25,131.79599452283307
jp-copilot-fp100,1,25,107.19877463270186
jp-copilot-fp100,10,25,125.59615137646915
jp-copilot-fp100,10000,25,84.08894985230448
jp-copilot-fp100,100000,25,119.37638181094967
jp-copilot-adaptive,1,25,183.65008057636925
jp-copilot-adaptive,10,25,95.78072553392106
jp-copilot-adaptive,1000,25,102.61357266577195
jp-copilot-adaptive,10000,25,1146.8149000696653
jp-copilot-adaptive,100000,25,2553.531346046447
jp-mencius-adaptive,1,10,8109.321285840207
jp-mencius-adaptive,10,10,8400.655949880535
jp-mencius-adaptive,100,10,6886.846187631316
jp-mencius-adaptive,1000,10,5764.693771178325
jp-mencius-adaptive,10000,10,8424.38375503651
jp-mencius-adaptive,100000,10,7304.038965628483
jp-mencius-adaptive,1000000,10,7583.5727925905
etcd,1,100,1925.7404653095728
etcd,10,100,2008.4423900324223
etcd,100,100,1976.6183971052217
etcd,1000,100,2127.830643886492
etcd,10000,100,1926.519314452209
etcd,1000000,100,2291.42175585719
jp-etcd-fp0,1,100,2356.6467603244464
jp-etcd-fp0,10,100,2349.464393462992
jp-etcd-fp0,100,100,2029.757752382956
jp-etcd-fp0,1000,100,1916.9997126552478
jp-etcd-fp0,10000,100,1930.4943888737703
jp-etcd-fp0,100000,100,1929.5279282997537
jp-etcd-fp0,1000000,100,1959.8893783176416
jp-etcd-fp100,10,100,1147.3237221563072
jp-etcd-fp100,100,100,1533.8692387185758
jp-etcd-fp100,1000,100,1168.0043015487402
jp-etcd-fp100,10000,100,1157.4588149996914
jp-etcd-fp100,100000,100,1235.7720427308575
jp-etcd-fp100,1000000,100,1178.4508756924545
jp-etcd-adaptive,1,100,1138.7608993900978
jp-etcd-adaptive,10,100,1141.0595851892283
jp-etcd-adaptive,100,100,1169.9891793568083
jp-etcd-adaptive,1000,100,1148.0234395214522
jp-etcd-adaptive,10000,100,1185.2664079837389
jp-etcd-adaptive,100000,100,1244.329919974775
jp-etcd-adaptive,1000000,100,1160.1850310124228
mongodb,1,1,9550.45630218625
mongodb,10,1,9551.28031127625
mongodb,100,1,9550.6720333875
mongodb,1000,1,9550.65015228125
mongodb,10000,1,9550.8298364275
mongodb,100000,1,9550.57771056875
mongodb,1000000,1,9550.39485076625
jp-mongodb-fp0,100,1,9571.827056585
jp-mongodb-fp100,1,25,348.3387194842252
jp-mongodb-fp100,10,25,498.79915641846134
jp-mongodb-fp100,100,25,404.3453115557081
jp-mongodb-fp100,1000,25,204.689691374063
jp-mongodb-fp100,10000,25,410.278786089401
jp-mongodb-fp100,100000,25,370.79320543972386
jp-mongodb-fp100,1000000,25,530.2547644003844
jp-mongodb-adaptive,1,25,386.7780132860574
jp-mongodb-adaptive,10,25,398.4208286118118
jp-mongodb-adaptive,100,25,498.56402397897966
jp-mongodb-adaptive,1000,25,353.23468512898376
jp-mongodb-adaptive,10000,25,483.30474480879553
jp-mongodb-adaptive,100000,25,274.5699711475755
jp-mongodb-adaptive,1000000,25,418.10460373731513
epaxos,1,200,1338.1693186707005
epaxos,10,200,1364.7502246026734
epaxos,100,200,1312.4087294938327
epaxos,1000,200,1306.6954945323732
epaxos,10000,200,1342.0327168010226
epaxos,100000,200,1286.1850976254716
epaxos,1000000,200,1324.1333079919045
swiftpaxos,1,100,1029.5793884260756
swiftpaxos,10,100,1037.9063001934198
swiftpaxos,100,100,1031.031159593743
swiftpaxos,1000,100,1084.0728336688744
swiftpaxos,10000,100,1055.4186934141542
swiftpaxos,100000,100,1026.5965310969057
swiftpaxos,1000000,100,1028.1239520968697
curp,1,100,2161.4449702669317
curp,10,100,2152.0490818127287
curp,100,100,2206.5619761817416
curp,1000,100,2147.9736763056235
curp,10000,100,2124.625705010484
curp,100000,100,2187.65694382345
curp,1000000,100,2276.71698385245
