protocol,zipf,N,average_latency_(ms)
raft,0.0,150,2301.4304129680436
raft,0.5,150,1952.3731708767625
raft,0.6,150,2285.6696204313535
raft,0.7,150,2293.9041994828535
raft,0.8,150,1999.7573902950517
raft,0.9,150,2250.1062735822065
raft,1.0,150,2060.8729416460365
jp-raft-fp0,0.0,150,2166.317890872857
jp-raft-fp0,0.5,150,2055.7702506932455
jp-raft-fp0,0.6,150,2009.2230337717958
jp-raft-fp0,0.7,150,2249.187050119811
jp-raft-fp0,0.8,150,2040.293526149532
jp-raft-fp0,0.9,150,2328.0440956234606
jp-raft-fp0,1.0,150,2315.582438758782
jp-raft-fp100,0.5,150,5979.251182914177
jp-raft-fp100,0.8,150,5883.334804304106
jp-raft-fp100,0.9,150,5568.643054692413
jp-raft-adaptive,0.0,100,1438.820809069412
jp-raft-adaptive,0.5,100,1791.6426335275976
jp-raft-adaptive,0.6,100,1539.9527891527566
jp-raft-adaptive,0.7,100,2021.7500441876214
jp-raft-adaptive,0.8,100,1585.1757915997991
jp-raft-adaptive,0.9,100,1806.5580774101772
jp-raft-adaptive,1.0,100,1364.1666684737627
copilot,0.0,25,192.31031185684606
copilot,0.5,25,117.4112467495157
copilot,0.7,25,102.42856987635862
copilot,0.9,25,132.7285819393322
jp-copilot-fp0,0.0,25,1911.3501999175623
jp-copilot-fp0,0.5,25,150.90508099885753
jp-copilot-fp0,0.6,25,428.02430059021844
jp-copilot-fp0,0.7,25,100.2343366359463
jp-copilot-fp0,0.8,25,112.81670199328713
jp-copilot-fp0,0.9,25,102.94951894650517
jp-copilot-fp100,0.0,25,262.8683313600531
jp-copilot-fp100,0.6,25,533.824501614823
jp-copilot-fp100,0.8,25,367.67812434468345
jp-copilot-adaptive,0.0,25,478.9703806939889
jp-copilot-adaptive,0.5,25,231.14326061113445
jp-copilot-adaptive,0.6,25,108.13893295926914
jp-copilot-adaptive,0.7,25,92.61903515110437
jp-copilot-adaptive,0.8,25,1420.3871702168015
jp-copilot-adaptive,1.0,25,1718.6216592221422
etcd,0.0,100,1966.0954182165997
etcd,0.5,100,1854.578721437635
etcd,0.6,100,2050.202397244229
etcd,0.7,100,1921.5983214851153
etcd,0.8,100,1888.2126875449756
etcd,0.9,100,1790.7589220460377
etcd,1.0,100,1878.1551412374065
jp-etcd-fp0,0.0,100,2010.463417055228
jp-etcd-fp0,0.5,100,2198.2894076259076
jp-etcd-fp0,0.6,100,1902.5317375285233
jp-etcd-fp0,0.7,100,1877.254326197426
jp-etcd-fp0,0.8,100,1932.4068546369283
jp-etcd-fp0,0.9,100,1942.8724321272293
jp-etcd-fp0,1.0,100,1928.5787031380041
jp-etcd-fp100,0.0,100,1176.5564729234204
jp-etcd-fp100,0.5,100,1073.1845086365365
jp-etcd-fp100,0.6,100,1402.191414635682
jp-etcd-fp100,0.7,100,1186.5930636609717
jp-etcd-fp100,0.8,100,1159.5798750781585
jp-etcd-fp100,0.9,100,1111.0797209447958
jp-etcd-fp100,1.0,100,1177.8506587469815
jp-etcd-adaptive,0.0,100,1116.0743511878052
jp-etcd-adaptive,0.5,100,1226.9598560402535
jp-etcd-adaptive,0.6,100,1192.9911161527587
jp-etcd-adaptive,0.7,100,1115.1277286272664
jp-etcd-adaptive,0.8,100,1134.1033866803264
jp-etcd-adaptive,0.9,100,996.106027179454
jp-etcd-adaptive,1.0,100,1047.7505855971206
mongodb,0.0,1,9550.5210183775
mongodb,0.5,1,9550.78278380125
mongodb,0.6,1,9551.289934080001
mongodb,0.7,1,9550.25632599625
mongodb,0.8,1,9550.644935931248
mongodb,0.9,1,9550.834231863751
mongodb,1.0,1,9550.88976715625
jp-mongodb-fp100,0.0,25,475.6060526484858
jp-mongodb-fp100,0.5,25,342.61739700938665
jp-mongodb-fp100,0.6,25,494.64416352359996
jp-mongodb-fp100,0.7,25,469.1788769562026
jp-mongodb-fp100,0.8,25,497.94393110225656
jp-mongodb-fp100,0.9,25,204.69402363053027
jp-mongodb-fp100,1.0,25,585.6068943408726
jp-mongodb-adaptive,0.0,25,458.29631186908813
jp-mongodb-adaptive,0.5,25,470.6060572159509
jp-mongodb-adaptive,0.6,25,352.91062330865236
jp-mongodb-adaptive,0.7,25,435.18416024833795
jp-mongodb-adaptive,0.8,25,437.22595878097496
jp-mongodb-adaptive,0.9,25,284.5758632425535
jp-mongodb-adaptive,1.0,25,181.47053599958758
epaxos,0.0,200,1350.4123841408548
epaxos,0.5,200,1288.5585528454117
epaxos,0.6,200,1347.477098532803
epaxos,0.7,200,1365.5714869269775
epaxos,0.8,200,1299.7677724668424
epaxos,0.9,200,1363.8138095273212
epaxos,1.0,200,1368.7448914280296
swiftpaxos,0.0,100,1066.9205473433626
swiftpaxos,0.5,100,1006.5775936392486
swiftpaxos,0.6,100,1002.1448901019505
swiftpaxos,0.7,100,995.7391884213505
swiftpaxos,0.8,100,1124.7726307257922
swiftpaxos,0.9,100,1019.4125585839839
swiftpaxos,1.0,100,1017.0094026268725
curp,0.0,100,2234.621687194325
curp,0.5,100,2263.8814002863037
curp,0.6,100,2091.2750114344644
curp,0.7,100,2130.569455833228
curp,0.8,100,2162.2655099296744
curp,0.9,100,2297.604319914482
curp,1.0,100,2248.8468704009533
