protocol,zipf,N,p90_latency_(ms)
raft,0.0,150,2402.5
raft,0.5,150,2246.06
raft,0.6,150,2664.47
raft,0.7,150,2412.08
raft,0.8,150,2040.75
raft,0.9,150,2348.23
raft,1.0,150,2326.06
jp-raft-fp0,0.0,150,2456.99
jp-raft-fp0,0.5,150,2309.84
jp-raft-fp0,0.6,150,2320.89
jp-raft-fp0,0.7,150,2676.17
jp-raft-fp0,0.8,150,2224.75
jp-raft-fp0,0.9,150,2638.3
jp-raft-fp0,1.0,150,2534.21
jp-raft-fp100,0.0,150,0.0
jp-raft-fp100,0.5,150,0.0
jp-raft-fp100,0.6,150,0.0
jp-raft-fp100,0.7,150,0.0
jp-raft-fp100,0.8,150,54469.02
jp-raft-fp100,0.9,150,54121.66
jp-raft-fp100,1.0,150,0.0
jp-raft-adaptive,0.0,100,2179.44
jp-raft-adaptive,0.5,100,6587.76
jp-raft-adaptive,0.6,100,2491.08
jp-raft-adaptive,0.7,100,7357.91
jp-raft-adaptive,0.8,100,2037.08
jp-raft-adaptive,0.9,100,6020.56
jp-raft-adaptive,1.0,100,1924.37
copilot,0.0,25,103.39
copilot,0.5,25,103.46
copilot,0.6,25,0.0
copilot,0.7,25,103.72
copilot,0.8,25,0.0
copilot,0.9,25,104.22
copilot,1.0,25,0.0
jp-copilot-fp0,0.0,25,0.0
jp-copilot-fp0,0.5,25,104.4
jp-copilot-fp0,0.6,25,313.97
jp-copilot-fp0,0.7,25,104.0
jp-copilot-fp0,0.8,25,104.49
jp-copilot-fp0,0.9,25,104.59
jp-copilot-fp0,1.0,25,0.0
jp-copilot-fp100,0.0,25,103.66
jp-copilot-fp100,0.5,25,0.0
jp-copilot-fp100,0.6,25,84.43
jp-copilot-fp100,0.7,25,0.0
jp-copilot-fp100,0.8,25,0.0
jp-copilot-fp100,0.9,25,84.67
jp-copilot-fp100,1.0,25,0.0
jp-copilot-adaptive,0.0,25,0.0
jp-copilot-adaptive,0.5,25,106.47
jp-copilot-adaptive,0.6,25,104.61
jp-copilot-adaptive,0.7,25,103.42
jp-copilot-adaptive,0.8,25,5300.59
jp-copilot-adaptive,0.9,25,0.0
jp-copilot-adaptive,1.0,25,5679.99
mencius,0.0,0,-1.0
mencius,0.5,0,-1.0
mencius,0.6,0,-1.0
mencius,0.7,0,-1.0
mencius,0.8,0,-1.0
mencius,0.9,0,-1.0
mencius,1.0,0,-1.0
jp-mencius-fp0,0.0,0,-1.0
jp-mencius-fp0,0.5,0,-1.0
jp-mencius-fp0,0.6,0,-1.0
jp-mencius-fp0,0.7,0,-1.0
jp-mencius-fp0,0.8,0,-1.0
jp-mencius-fp0,0.9,0,-1.0
jp-mencius-fp0,1.0,0,-1.0
jp-mencius-fp100,0.0,10,-1.0
jp-mencius-fp100,0.5,10,0.0
jp-mencius-fp100,0.6,10,0.0
jp-mencius-fp100,0.7,10,-1.0
jp-mencius-fp100,0.8,10,-1.0
jp-mencius-fp100,0.9,10,-1.0
jp-mencius-fp100,1.0,10,0.0
jp-mencius-adaptive,0.0,10,0.0
jp-mencius-adaptive,0.5,10,0.0
jp-mencius-adaptive,0.6,10,0.0
jp-mencius-adaptive,0.7,10,12399.8
jp-mencius-adaptive,0.8,10,0.0
jp-mencius-adaptive,0.9,10,0.0
jp-mencius-adaptive,1.0,10,19212.0
etcd,0.0,100,2514.45
etcd,0.5,100,2419.46
etcd,0.6,100,2214.62
etcd,0.7,100,2614.99
etcd,0.8,100,2135.38
etcd,0.9,100,1896.41
etcd,1.0,100,2284.05
jp-etcd-fp0,0.0,100,1977.47
jp-etcd-fp0,0.5,100,2305.05
jp-etcd-fp0,0.6,100,1952.78
jp-etcd-fp0,0.7,100,1945.88
jp-etcd-fp0,0.8,100,2179.66
jp-etcd-fp0,0.9,100,2050.33
jp-etcd-fp0,1.0,100,2057.75
jp-etcd-fp100,0.0,100,8486.82
jp-etcd-fp100,0.5,100,7495.41
jp-etcd-fp100,0.6,100,10770.7
jp-etcd-fp100,0.7,100,8725.74
jp-etcd-fp100,0.8,100,7759.17
jp-etcd-fp100,0.9,100,7813.42
jp-etcd-fp100,1.0,100,7870.38
jp-etcd-adaptive,0.0,100,7499.44
jp-etcd-adaptive,0.5,100,8517.42
jp-etcd-adaptive,0.6,100,8478.12
jp-etcd-adaptive,0.7,100,7914.77
jp-etcd-adaptive,0.8,100,8022.73
jp-etcd-adaptive,0.9,100,8093.06
jp-etcd-adaptive,1.0,100,7925.51
mongodb,0.0,1,-1.0
mongodb,0.5,1,-1.0
mongodb,0.6,1,-1.0
mongodb,0.7,1,-1.0
mongodb,0.8,1,-1.0
mongodb,0.9,1,-1.0
mongodb,1.0,1,-1.0
jp-mongodb-fp0,0.0,1,-1.0
jp-mongodb-fp0,0.5,1,-1.0
jp-mongodb-fp0,0.6,1,-1.0
jp-mongodb-fp0,0.7,1,-1.0
jp-mongodb-fp0,0.8,1,-1.0
jp-mongodb-fp0,0.9,1,-1.0
jp-mongodb-fp0,1.0,1,-1.0
jp-mongodb-fp100,0.0,25,43.12
jp-mongodb-fp100,0.5,25,43.11
jp-mongodb-fp100,0.6,25,43.12
jp-mongodb-fp100,0.7,25,0.0
jp-mongodb-fp100,0.8,25,43.16
jp-mongodb-fp100,0.9,25,43.14
jp-mongodb-fp100,1.0,25,43.12
jp-mongodb-adaptive,0.0,25,43.1
jp-mongodb-adaptive,0.5,25,43.12
jp-mongodb-adaptive,0.6,25,43.1
jp-mongodb-adaptive,0.7,25,43.11
jp-mongodb-adaptive,0.8,25,43.17
jp-mongodb-adaptive,0.9,25,43.19
jp-mongodb-adaptive,1.0,25,0.0
epaxos,0.0,200,1826.23
epaxos,0.5,200,1779.53
epaxos,0.6,200,1847.67
epaxos,0.7,200,1852.11
epaxos,0.8,200,1711.87
epaxos,0.9,200,1834.89
epaxos,1.0,200,1808.52
swiftpaxos,0.0,100,1187.85
swiftpaxos,0.5,100,1131.65
swiftpaxos,0.6,100,1148.61
swiftpaxos,0.7,100,1233.06
swiftpaxos,0.8,100,1273.94
swiftpaxos,0.9,100,1198.35
swiftpaxos,1.0,100,1150.19
curp,0.0,100,22742.42
curp,0.5,100,24723.6
curp,0.6,100,21869.78
curp,0.7,100,22573.42
curp,0.8,100,21554.25
curp,0.9,100,22977.61
curp,1.0,100,22446.81
