protocol,mode,workload,N,total_tput,z2_tput,z2_p50,z2_p90,z2_p99,avg_cpu_5h,fp_att,fp_succ,fp_eff,fp_rate,fp_eff_rate
raft,0,rw_1000000,1,201.3,0.00,-1.00,-1.00,-1.00,1.300,0,0,0,0,0
raft,0,rw_1000000,25,4786.2,995.30,36.21,43.47,54.34,20.053,0,0,0,0,0
raft,0,rw_1000000,50,9969.5,1996.50,42.18,52.80,233.10,36.587,0,0,0,0,0
raft,0,rw_1000000,75,15001.8,2997.20,56.21,68.11,109.00,47.818,0,0,0,0,0
raft,0,rw_1000000,100,15594.2,3179.10,1225.29,1499.81,1640.68,43.682,0,0,0,0,0
raft,0,rw_1000000,150,13775.3,2846.50,2252.12,2347.11,2353.11,41.829,0,0,0,0,0
jp-raft-fp0,0,rw_1000000,1,200.1,0.00,-1.00,-1.00,-1.00,1.516,0,0,0,0,0
jp-raft-fp0,0,rw_1000000,25,5003.8,1004.50,57.44,64.49,70.26,21.008,0,0,0,0,0
jp-raft-fp0,0,rw_1000000,50,10001.3,2000.80,64.05,74.15,210.63,36.438,0,0,0,0,0
jp-raft-fp0,0,rw_1000000,75,14942.6,2991.00,80.90,360.58,687.37,46.119,0,0,0,0,0
jp-raft-fp0,0,rw_1000000,100,15890.9,3190.60,1252.01,1470.42,1546.73,42.953,0,0,0,0,0
jp-raft-fp0,0,rw_1000000,150,15035.3,3301.50,1981.36,2199.91,2392.47,44.257,0,0,0,0,0
jp-raft-fp100,100,rw_1000000,1,200.6,0.00,-1.00,-1.00,-1.00,2.370,2006,2006,2006,100.0000,100.0000
jp-raft-fp100,100,rw_1000000,25,4976.9,994.50,41.13,41.78,42.18,40.340,49769,49753,49753,99.9679,99.9679
jp-raft-fp100,100,rw_1000000,50,9984.4,2000.80,41.13,41.83,47.50,68.269,99844,99731,99731,99.8868,99.8868
jp-raft-fp100,100,rw_1000000,75,14981.2,2994.20,41.17,41.87,52.55,84.239,149812,149548,149548,99.8238,99.8238
jp-raft-fp100,100,rw_1000000,100,4386.6,841.30,41.38,24772.50,26887.72,50.970,43866,36897,36897,84.1130,84.1130
jp-raft-fp100,100,rw_1000000,150,3033.3,723.20,41.49,52959.22,55073.35,49.209,30333,24147,24147,79.6064,79.6064
jp-raft-adaptive,101,rw_1000000,1,200.1,0.00,-1.00,-1.00,-1.00,2.054,2001,2001,2001,100.0000,100.0000
jp-raft-adaptive,101,rw_1000000,25,4798.1,997.90,41.14,41.82,42.27,39.022,47981,47960,47960,99.9562,99.9562
jp-raft-adaptive,101,rw_1000000,50,9995.1,1993.40,41.22,50.94,67.75,44.778,21906,21904,21904,99.9909,99.9909
