protocol,mode,workload,N,total_tput,z2_tput,z2_p50,z2_p90,z2_p99,avg_cpu_5h,fp_att,fp_succ,fp_eff,fp_rate,fp_eff_rate
raft,0,rw_1,150,15020,3020.00,1914.56,2020.47,2023.19,42.984,0,0,0,0,0
raft,0,rw_10,150,12043.8,2443.80,2348.47,2514.49,2517.64,42.035,0,0,0,0,0
raft,0,rw_100,150,13484,3000.00,2076.10,2408.89,2411.78,40.428,0,0,0,0,0
raft,0,rw_1000,150,12347.7,2500.00,2294.05,2368.05,2377.26,41.638,0,0,0,0,0
raft,0,rw_10000,150,15000,3000.00,2068.16,2124.30,2139.80,43.144,0,0,0,0,0
raft,0,rw_100000,150,13951,3000.00,2308.96,2683.90,2689.35,40.281,0,0,0,0,0
raft,0,rw_1000000,150,12739,2560.40,2398.19,2544.03,2548.01,41.018,0,0,0,0,0
jp-raft-fp0,0,rw_1,150,12224.7,2500.00,2336.22,2450.46,2452.52,40.763,0,0,0,0,0
jp-raft-fp0,0,rw_10,150,12999.8,2722.60,2390.79,2581.06,2583.11,40.256,0,0,0,0,0
jp-raft-fp0,0,rw_100,150,15000,3000.00,2067.89,2264.51,2268.60,42.745,0,0,0,0,0
jp-raft-fp0,0,rw_1000,150,15000,3000.00,2042.89,2060.46,2062.57,42.870,0,0,0,0,0
jp-raft-fp0,0,rw_10000,150,13151.9,2862.30,2141.71,2641.90,2644.07,42.061,0,0,0,0,0
jp-raft-fp0,0,rw_100000,150,15034.7,3000.00,1986.81,1995.19,1999.32,43.716,0,0,0,0,0
jp-raft-fp0,0,rw_1000000,150,12020,2420.00,2401.79,2497.55,2557.60,39.595,0,0,0,0,0
jp-raft-fp100,100,rw_1,150,0,0,0,0,0,45.287,0,0,0,0,0
jp-raft-fp100,100,rw_10,150,3597.3,717.60,41.47,53311.74,55971.24,44.407,35913,28590,28590,79.6091,79.6091
jp-raft-fp100,100,rw_100,150,0,0,0,0,0,44.972,0,0,0,0,0
jp-raft-fp100,100,rw_1000,150,0,0,0,0,0,45.302,0,0,0,0,0
jp-raft-fp100,100,rw_10000,150,0,0,0,0,0,48.865,0,0,0,0,0
jp-raft-fp100,100,rw_100000,150,3658.9,670.00,41.47,54273.53,56644.19,46.977,36589,29108,29108,79.5540,79.5540
jp-raft-fp100,100,rw_1000000,150,0,0,0,0,0,47.956,0,0,0,0,0
jp-raft-adaptive,101,rw_1,100,1444.7,88.80,9734.90,11647.13,12884.91,34.851,8160,7074,7074,86.6912,86.6912
jp-raft-adaptive,101,rw_10,100,6200.8,1260.80,2144.29,2162.70,4893.09,42.693,0,0,0,0,0
jp-raft-adaptive,101,rw_100,100,3305.2,829.20,2303.88,3838.35,7685.81,43.648,1708,1479,1479,86.5925,86.5925
jp-raft-adaptive,101,rw_1000,100,5964.5,1204.70,2129.68,2210.72,4673.75,45.187,41,37,37,90.2439,90.2439
jp-raft-adaptive,101,rw_10000,100,4225,842.00,2033.39,3002.31,6067.57,44.328,57,51,51,89.4737,89.4737
jp-raft-adaptive,101,rw_100000,100,758.1,164.80,3734.70,5481.16,5483.94,37.084,0,0,0,0,0
jp-raft-adaptive,101,rw_1000000,100,3941.3,810.00,1981.89,2890.12,7358.20,43.647,26,23,23,88.4615,88.4615
copilot,0,rw_1,25,4993.4,995.70,103.63,104.75,106.03,88.071,0,0,0,0,0
copilot,0,rw_10,25,0,0,0,0,0,58.626,0,0,0,0,0
copilot,0,rw_100,25,5002.8,999.30,82.06,82.68,83.25,86.987,0,0,0,0,0
copilot,0,rw_1000,25,3051.5,607.40,82.99,4622.93,5177.22,42.119,0,0,0,0,0
copilot,0,rw_10000,25,0,0,0,0,0,67.689,0,0,0,0,0
copilot,0,rw_100000,25,5000.5,996.30,103.80,104.96,107.15,88.781,0,0,0,0,0
copilot,0,rw_1000000,25,4985.5,997.40,103.75,104.88,106.75,88.653,0,0,0,0,0
jp-copilot-fp0,0,rw_1,25,0,0,0,0,0,51.707,0,0,0,0,0
jp-copilot-fp0,0,rw_10,25,4992.7,1001.20,104.00,105.44,110.24,88.710,0,0,0,0,0
jp-copilot-fp0,0,rw_100,25,1358.1,296.50,82.58,318.01,320.61,39.880,0,0,0,0,0
jp-copilot-fp0,0,rw_1000,25,1005.4,174.50,9003.98,14363.48,14698.40,81.696,0,0,0,0,0
jp-copilot-fp0,0,rw_10000,25,4990.1,996.00,104.07,105.42,114.30,88.990,0,0,0,0,0
jp-copilot-fp0,0,rw_100000,25,4997.3,998.50,104.18,105.73,116.54,88.396,0,0,0,0,0
jp-copilot-fp0,0,rw_1000000,25,779.3,779.30,82.18,83.08,93.80,61.420,0,0,0,0,0
jp-copilot-fp100,100,rw_1,25,4975.7,992.20,103.94,105.24,112.78,88.502,0,0,0,0,0
jp-copilot-fp100,100,rw_10,25,4983,997.20,104.05,105.37,109.95,89.274,0,0,0,0,0
jp-copilot-fp100,100,rw_100,25,0,0,0,0,0,53.313,0,0,0,0,0
jp-copilot-fp100,100,rw_1000,25,0,0,0,0,0,41.806,0,0,0,0,0
