protocol,mode,workload,N,total_tput,z2_tput,z2_p50,z2_p90,z2_p99,avg_cpu_5h,fp_att,fp_succ,fp_eff,fp_rate,fp_eff_rate
raft,0,rw_1000000,150,12469.9,2440.00,2325.05,2402.50,2405.81,41.640,0,0,0,0,0
raft,0,rw_zipf_0.5,150,15060,3060.00,2010.26,2246.06,2248.36,43.176,0,0,0,0,0
raft,0,rw_zipf_0.6,150,12381.4,2460.00,2395.29,2664.47,2667.73,40.252,0,0,0,0,0
raft,0,rw_zipf_0.7,150,12380,2500.00,2316.26,2412.08,2414.13,43.017,0,0,0,0,0
raft,0,rw_zipf_0.8,150,15616,3616.00,1776.24,2040.75,2408.50,42.519,0,0,0,0,0
raft,0,rw_zipf_0.9,150,12648.1,2580.00,2323.06,2348.23,2366.42,41.645,0,0,0,0,0
raft,0,rw_zipf_1,150,15040,3040.00,2077.78,2326.06,2334.24,41.875,0,0,0,0,0
jp-raft-fp0,0,rw_1000000,150,12730.4,2537.90,2287.84,2456.99,2551.50,40.960,0,0,0,0,0
jp-raft-fp0,0,rw_zipf_0.5,150,13961.7,3000.00,2133.90,2309.84,2314.93,42.503,0,0,0,0,0
jp-raft-fp0,0,rw_zipf_0.6,150,14710.6,3000.00,2027.80,2320.89,2323.53,42.962,0,0,0,0,0
jp-raft-fp0,0,rw_zipf_0.7,150,12649.8,2940.00,2548.05,2676.17,2836.63,41.068,0,0,0,0,0
jp-raft-fp0,0,rw_zipf_0.8,150,14522.3,3001.70,2091.91,2224.75,2228.83,43.802,0,0,0,0,0
jp-raft-fp0,0,rw_zipf_0.9,150,12090.1,2480.00,2472.56,2638.30,2752.59,41.968,0,0,0,0,0
jp-raft-fp0,0,rw_zipf_1,150,12798.2,2760.00,2386.61,2534.21,2539.49,40.707,0,0,0,0,0
jp-raft-fp100,100,rw_1000000,150,0,0,0,0,0,45.609,0,0,0,0,0
jp-raft-fp100,100,rw_zipf_0.5,150,1533.2,0,0,0,0,46.142,15332,12131,12131,79.1221,79.1221
jp-raft-fp100,100,rw_zipf_0.6,150,0,0,0,0,0,46.252,0,0,0,0,0
jp-raft-fp100,100,rw_zipf_0.7,150,0,0,0,0,0,49.263,0,0,0,0,0
