protocol,site,workload,concurrent,fastpath_percentage,fastpath_count,fastpath_50pct,fastpath_90pct,fastpath_99pct,fastpath_ave,slowpath_count,slowpath_50pct,slowpath_90pct,slowpath_99pct,slowpath_ave,total_count,total_50pct,total_90pct,total_99pct,total_ave,throughput,fastpath_attempt_count,fastpath_success_count,fastpath_success_rate
none_fpga_raft,30c1s5r10p,rw_1000000,concurrent_1,0,0,0,0,0,0,600,286.0455,320.7271,320.831,249.81357666666668,600,286.0455,320.7271,320.831,249.81357666666668,60.0,0,0,0
none_fpga_raft,30c1s5r10p,rw_1000000,concurrent_5,0,0,0,0,0,0,2990,287.4575,322.251,323.19144,251.3065401337793,2990,287.4575,322.251,323.19144,251.3065401337793,299.0,0,0,0
none_fpga_raft,30c1s5r10p,rw_1000000,concurrent_10,0,0,0,0,0,0,5980,287.804,321.163,323.11867,251.1066346153846,5980,287.804,321.163,323.11867,251.1066346153846,598.0,0,0,0
none_fpga_raft,30c1s5r10p,rw_1000000,concurrent_20,0,0,0,0,0,0,11879,289.673,322.26399999999995,325.18398,252.397213149255,11879,289.673,322.26399999999995,325.18398,252.397213149255,1187.9,0,0,0
none_fpga_raft,30c1s5r10p,rw_1000000,concurrent_40,0,0,0,0,0,0,21712,307.6845,347.0957,371.38156,276.06119376381724,21712,307.6845,347.0957,371.38156,276.06119376381724,2171.2,0,0,0
none_fpga_raft,30c1s5r10p,rw_1000000,concurrent_60,0,0,0,0,0,0,26956,367.283,400.805,435.0138,333.95203453776526,26956,367.283,400.805,435.0138,333.95203453776526,2695.6,0,0,0
none_fpga_raft,30c1s5r10p,rw_1000000,concurrent_100,0,0,0,0,0,0,34889,451.183,503.25480000000005,582.1021600000001,429.38916383387317,34889,451.183,503.25480000000005,582.1021600000001,429.38916383387317,3488.9,0,0,0
none_fpga_raft,30c1s5r10p,rw_1000000,concurrent_150,0,0,0,0,0,0,35305,643.703,734.6795999999999,797.50096,635.332098059765,35305,643.703,734.6795999999999,797.50096,635.332098059765,3530.5,0,0,0
none_fpga_raft,30c1s5r10p,rw_1000000,concurrent_200,0,0,0,0,0,0,35369,871.944,928.7121999999999,1008.18,848.4845860216574,35369,871.944,928.7121999999999,1008.18,848.4845860216574,3536.9,0,0,0
none_fpga_raft,30c1s5r10p,rw_1000000,concurrent_300,0,0,0,0,0,0,35145,1284.18,1374.85,1428.6055999999999,1279.5652112676057,35145,1284.18,1374.85,1428.6055999999999,1279.5652112676057,3514.5,0,0,0
