protocol,site,ycsb,workload,concurrent,fastpath_attempt_rate,all_efficient_count,all_efficient_50pct,all_efficient_90pct,all_efficient_99pct,all_efficient_ave,throughput,cpu_usage,memory_usage,fp_attempt_cnt,fp_success_cnt,fp_efficient_success_cnt,fp_success_rate,fp_efficient_success_rate
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_1,0,600,311.481,338.20900000000125,396.86729,292.4117583333333,60.0,"{0: 5.952, 1: 15.789, 2: 1.235, 3: 2.439, 4: 5.882}","{0: 432.188, 1: 430.938, 2: 430.938, 3: 430.688, 4: 430.812}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_5,0,3000,313.6255,340.80669999999526,397.88405,293.6528446666667,300.0,"{0: 7.143, 1: 19.802, 2: 9.091, 3: 3.571, 4: 3.614}","{0: 446.062, 1: 443.375, 2: 443.875, 3: 443.5, 4: 443.625}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_10,0,6000,314.832,341.20860000001943,400.95902,295.35013566666663,600.0,"{0: 8.235, 1: 5.882, 2: 3.614, 3: 19.192, 4: 3.659}","{0: 448.375, 1: 444.75, 2: 444.625, 3: 444.625, 4: 444.562}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_20,0,12000,316.469,343.570100000019,398.89401,296.5271501666667,1200.0,"{0: 12.941, 1: 5.952, 2: 16.842, 3: 4.819, 4: 4.819}","{0: 452.5, 1: 446.125, 2: 446.188, 3: 446.25, 4: 446.25}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_30,0,18000,316.7585,344.15470000001903,400.765,296.6453671111111,1800.0,"{0: 16.471, 1: 15.217, 2: 9.302, 3: 9.302, 4: 6.024}","{0: 455.453, 1: 447.375, 2: 447.062, 3: 447.625, 4: 447.5}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_40,0,24000,313.674,340.89380000011346,399.87,294.06917391666667,2400.0,"{0: 19.048, 1: 14.444, 2: 12.222, 3: 8.235, 4: 7.229}","{0: 459.125, 1: 448.875, 2: 448.75, 3: 448.75, 4: 448.625}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_50,0,30000,311.247,349.2591000000838,395.00800999999996,291.9657181333333,3000.0,"{0: 24.138, 1: 9.524, 2: 9.302, 3: 9.524, 4: 7.317}","{0: 463.09, 1: 450.0, 2: 450.188, 3: 450.25, 4: 450.062}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_60,0,36000,320.9385,389.27049999999997,430.00705,303.8148445277778,3600.0,"{0: 24.419, 1: 11.765, 2: 6.098, 3: 10.465, 4: 7.229}","{0: 469.188, 1: 452.0, 2: 451.938, 3: 451.875, 4: 451.875}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_70,0,42000,334.651,403.0622,446.66808000000003,317.8242309047619,4200.0,"{0: 26.744, 1: 9.756, 2: 9.412, 3: 8.333, 4: 13.483}","{0: 475.355, 1: 453.373, 2: 453.656, 3: 453.5, 4: 453.438}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_75,0,45000,338.74649999999997,401.5877,462.69408000000004,324.7914791333333,4500.0,"{0: 28.409, 1: 18.478, 2: 25.243, 3: 18.085, 4: 8.434}","{0: 478.727, 1: 454.5, 2: 455.055, 3: 454.426, 4: 454.311}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
