protocol,site,ycsb,workload,concurrent,fastpath_attempt_rate,all_efficient_count,all_efficient_50pct,all_efficient_90pct,all_efficient_99pct,all_efficient_ave,throughput,cpu_usage,memory_usage,fp_attempt_cnt,fp_success_cnt,fp_efficient_success_cnt,fp_success_rate,fp_efficient_success_rate
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_1,0,600,298.161,328.1668000000012,386.62300999999997,281.5288233333333,60.0,"{0: 5.882, 1: 2.439, 2: 2.439, 3: 28.319, 4: 3.614}","{0: 432.312, 1: 430.938, 2: 431.188, 3: 430.688, 4: 430.875}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_10,0,6000,301.14,330.44830000001946,396.40403,283.6830613333333,600.0,"{0: 7.317, 1: 3.659, 2: 2.469, 3: 2.469, 4: 2.469}","{0: 448.25, 1: 444.625, 2: 444.375, 3: 444.625, 4: 444.625}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_20,0,12000,301.679,331.79080000001903,395.87403,284.6712338333333,1200.0,"{0: 12.941, 1: 3.75, 2: 5.952, 3: 14.13, 4: 7.059}","{0: 453.348, 1: 446.062, 2: 446.25, 3: 446.188, 4: 446.25}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_30,0,18000,304.0225,334.288900000019,392.40101,286.7620822222222,1800.0,"{0: 17.647, 1: 8.333, 2: 7.143, 3: 6.098, 4: 6.024}","{0: 455.75, 1: 447.375, 2: 447.617, 3: 447.375, 4: 447.438}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_40,0,24000,303.81050000000005,334.07000000011385,393.68903,286.894519125,2400.0,"{0: 18.824, 1: 7.229, 2: 11.364, 3: 20.619, 4: 8.235}","{0: 459.109, 1: 448.812, 2: 449.062, 3: 448.688, 4: 448.75}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_50,0,30000,304.07500000000005,347.3728000000789,407.7871799999991,287.81810613333334,3000.0,"{0: 21.429, 1: 8.537, 2: 21.212, 3: 12.5, 4: 7.317}","{0: 464.207, 1: 450.375, 2: 450.438, 3: 450.312, 4: 450.375}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_60,0,36000,304.9565,380.0353,411.05702,289.74053308333333,3600.0,"{0: 25.0, 1: 9.877, 2: 7.317, 3: 9.524, 4: 26.415}","{0: 468.473, 1: 451.621, 2: 452.25, 3: 451.801, 4: 451.688}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_70,0,42000,317.55449999999996,380.166,417.51502999999997,299.379778,4200.0,"{0: 29.412, 1: 9.756, 2: 7.317, 3: 7.317, 4: 26.214}","{0: 474.391, 1: 453.75, 2: 454.242, 3: 453.562, 4: 453.688}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_80,0,48000,335.8485,401.941,481.78202,324.7494991666667,4800.0,"{0: 31.395, 1: 10.976, 2: 8.537, 3: 7.317, 4: 8.537}","{0: 481.312, 1: 455.055, 2: 454.992, 3: 455.09, 4: 455.123}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
none_fpga_raft,60c1s5r10p,YCSB_A,rw_1000000,concurrent_100,0,60000,369.639,482.6241,595.3200400000001,365.59260458333335,6000.0,"{0: 39.773, 1: 15.909, 2: 8.537, 3: 11.765, 4: 17.045}","{0: 523.25, 1: 458.309, 2: 458.42, 3: 458.113, 4: 458.336}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}",0,0
