protocol,site,ycsb,workload,concurrent,fastpath_attempt_rate,all_efficient_count,all_efficient_50pct,all_efficient_90pct,all_efficient_99pct,all_efficient_ave,throughput,cpu_usage,memory_usage,fp_attempt_cnt,fp_success_cnt,fp_efficient_success_cnt,fp_success_rate,fp_efficient_success_rate
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_1,0,197,80.10083,90.60244139999999,93.88127928,79.7744546751269,19.7,"{0: 3.261, 1: 0.0, 2: 13.542, 3: 5.814, 4: 8.421}","{0: 524.027, 1: 523.258, 2: 523.518, 3: 522.25, 4: 522.576}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_10,0,2866,75.904419,86.02941899999999,91.29647229999999,75.95850747801815,286.6,"{0: 1.099, 1: 1.111, 2: 11.702, 3: 10.227, 4: 9.677}","{0: 536.137, 1: 536.051, 2: 536.643, 3: 533.25, 4: 537.709}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_20,0,5831,74.315918,83.883057,88.8864744,74.63602448842394,583.1,"{0: 2.198, 1: 5.495, 2: 10.0, 3: 8.14, 4: 5.682}","{0: 549.83, 1: 552.215, 2: 550.834, 3: 545.25, 4: 550.211}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_40,0,11825,73.774902,81.754883,86.26276332,74.12690140532769,1182.5,"{0: 3.261, 1: 2.198, 2: 12.903, 3: 34.783, 4: 11.702}","{0: 578.455, 1: 579.414, 2: 579.834, 3: 587.25, 4: 578.533}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_60,0,17800,73.4525145,80.6751466,85.579834,73.84891353449439,1780.0,"{0: 3.297, 1: 2.222, 2: 14.894, 3: 45.652, 4: 11.111}","{0: 607.166, 1: 608.234, 2: 609.613, 3: 608.75, 4: 607.244}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_80,0,23772,73.32995600000001,79.9698733,84.46817374,73.5942053560912,2377.2,"{0: 20.0, 1: 2.222, 2: 14.286, 3: 16.484, 4: 9.89}","{0: 646.463, 1: 638.27, 2: 638.393, 3: 627.75, 4: 636.094}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_100,0,29891,74.331055,81.755859,86.50412629999998,74.87265848917734,2989.1,"{0: 5.435, 1: 3.297, 2: 15.217, 3: 65.263, 4: 12.5}","{0: 664.27, 1: 667.266, 2: 667.445, 3: 675.5, 4: 664.328}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_120,0,35706,74.52002,81.6915285,86.63856199999998,75.05291449148602,3570.6,"{0: 8.791, 1: 3.333, 2: 18.085, 3: 70.833, 4: 12.766}","{0: 692.814, 1: 696.406, 2: 696.5, 3: 709.75, 4: 693.068}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_140,0,41906,73.822021,79.998413,84.86782235,74.13626626385245,4190.6,"{0: 6.522, 1: 28.421, 2: 22.105, 3: 22.34, 4: 10.87}","{0: 720.977, 1: 740.117, 2: 724.889, 3: 707.25, 4: 721.188}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_150,0,44684,76.4155275,84.166992,96.90486103999994,77.30534782293438,4468.4,"{0: 6.522, 1: 4.396, 2: 23.404, 3: 81.0, 4: 11.111}","{0: 734.85, 1: 739.094, 2: 738.721, 3: 756.0, 4: 735.074}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_160,0,47789,76.954834,84.92622080000002,104.30813484000029,78.14477367689217,4778.9,"{0: 7.609, 1: 3.371, 2: 25.275, 3: 87.0, 4: 11.957}","{0: 749.16, 1: 753.605, 2: 753.871, 3: 774.25, 4: 749.217}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_170,0,50664,77.4415285,85.9440188,102.26042257000015,78.62927615166588,5066.4,"{0: 8.696, 1: 4.444, 2: 22.581, 3: 87.879, 4: 11.828}","{0: 763.979, 1: 767.625, 2: 767.316, 3: 789.25, 4: 764.352}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_180,0,53539,74.522949,81.268066,85.90894988000001,74.94553309923606,5353.9,"{0: 7.609, 1: 34.375, 2: 24.211, 3: 21.839, 4: 13.83}","{0: 777.168, 1: 807.354, 2: 782.379, 3: 761.0, 4: 777.238}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_190,0,56762,79.442139,87.188965,108.3188428,80.5536944030161,5676.2,"{0: 7.609, 1: 4.444, 2: 24.731, 3: 94.898, 4: 13.043}","{0: 787.645, 1: 792.59, 2: 792.402, 3: 815.688, 4: 805.844}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_200,0,59561,75.484131,82.579102,86.9744142,75.88780754544081,5956.1,"{0: 7.609, 1: 35.484, 2: 23.913, 3: 26.437, 4: 12.5}","{0: 806.598, 1: 858.883, 2: 811.555, 3: 789.0, 4: 806.621}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_250,0,74536,79.396973,87.518066,111.41748024999974,80.62628579087956,7453.6,"{0: 8.889, 1: 6.593, 2: 26.667, 3: 92.553, 4: 15.957}","{0: 878.115, 1: 884.098, 2: 883.863, 3: 962.402, 4: 877.834}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_300,0,89127,78.624023,87.3253418,121.79279254000004,80.02517021063203,8912.7,"{0: 13.187, 1: 11.702, 2: 32.99, 3: 83.0, 4: 17.391}","{0: 950.871, 1: 958.164, 2: 957.887, 3: 1004.293, 4: 950.504}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
none_raft,30c1s5r5p-zoo,YCSB_A,rw_1000000,concurrent_400,0,90123,81.031006,89.1707028,205.2073634,85.24348796097556,9012.3,"{0: 16.129, 1: 11.702, 2: 31.959, 3: 95.833, 4: 15.73}","{0: 955.111, 1: 963.945, 2: 963.936, 3: 1035.137, 4: 954.719}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}",0,0
