protocol,site,workload,concurrent,fastpath_percentage,fastpath_count,fastpath_50pct,fastpath_90pct,fastpath_99pct,fastpath_ave,slowpath_count,slowpath_50pct,slowpath_90pct,slowpath_99pct,slowpath_ave,total_count,total_50pct,total_90pct,total_99pct,total_ave,throughput,fastpath_attempt_count,fastpath_success_count,fastpath_success_rate
none_fpga_raft,60c1s5r10p,rw_1000000,concurrent_1,0,0,0,0,0,0,600,155.55599999999998,234.34220000000096,281.55202,154.34183583333333,600,155.55599999999998,234.34220000000096,281.55202,154.34183583333333,60.0,0,0,0
none_fpga_raft,60c1s5r10p,rw_1000000,concurrent_2,0,0,0,0,0,0,1200,157.827,234.3470000000058,282.97112,155.87220058333335,1200,157.827,234.3470000000058,282.97112,155.87220058333335,120.0,0,0,0
none_fpga_raft,60c1s5r10p,rw_1000000,concurrent_5,0,0,0,0,0,0,3000,156.0805,233.3406999999957,280.64500999999996,155.25778006666667,3000,156.0805,233.3406999999957,280.64500999999996,155.25778006666667,300.0,0,0,0
none_fpga_raft,60c1s5r10p,rw_1000000,concurrent_10,0,0,0,0,0,0,6000,156.7485,233.2291000000135,277.87901,153.90336545,6000,156.7485,233.2291000000135,277.87901,153.90336545,600.0,0,0,0
none_fpga_raft,60c1s5r10p,rw_1000000,concurrent_20,0,0,0,0,0,0,12000,180.11,234.93460000001545,277.34801,156.12321764166666,12000,180.11,234.93460000001545,277.34801,156.12321764166666,1200.0,0,0,0
none_fpga_raft,60c1s5r10p,rw_1000000,concurrent_30,0,0,0,0,0,0,18000,158.00549999999998,233.32920000001525,281.98003,155.81471204444446,18000,158.00549999999998,233.32920000001525,281.98003,155.81471204444446,1800.0,0,0,0
none_fpga_raft,60c1s5r10p,rw_1000000,concurrent_40,0,0,0,0,0,0,24000,156.297,233.82160000009353,281.987,154.46122090416665,24000,156.297,233.82160000009353,281.987,154.46122090416665,2400.0,0,0,0
none_fpga_raft,60c1s5r10p,rw_1000000,concurrent_50,0,0,0,0,0,0,30000,158.66,234.37180000008064,280.627,155.91679555666667,30000,158.66,234.37180000008064,280.627,155.91679555666667,3000.0,0,0,0
none_fpga_raft,60c1s5r10p,rw_1000000,concurrent_60,0,0,0,0,0,0,36000,155.85500000000002,233.72630000009403,280.11802,154.67689432222224,36000,155.85500000000002,233.72630000009403,280.11802,154.67689432222224,3600.0,0,0,0
none_fpga_raft,60c1s5r10p,rw_1000000,concurrent_70,0,0,0,0,0,0,42000,157.6415,233.5517999999377,278.558,154.88540786428572,42000,157.6415,233.5517999999377,278.558,154.88540786428572,4200.0,0,0,0
none_fpga_raft,60c1s5r10p,rw_1000000,concurrent_80,0,0,0,0,0,0,48000,157.215,234.70539999993835,283.44502,155.5521799729167,48000,157.215,234.70539999993835,283.44502,155.5521799729167,4800.0,0,0,0
none_fpga_raft,60c1s5r10p,rw_1000000,concurrent_90,0,0,0,0,0,0,54000,159.1365,234.86049999994242,282.41501,156.70297064074074,54000,159.1365,234.86049999994242,282.41501,156.70297064074074,5400.0,0,0,0
